Grid Size,Thread Count,Frame Rate
2500,1,58.37
2500,1,58.40
2500,1,58.39
2500,1,58.36
2500,1,58.39
2500,1,58.41
2500,1,58.36
2500,1,58.38
2500,1,58.40
2500,1,58.42
2500,1,58.37
2500,1,58.39
2500,1,58.41
2500,1,58.43
2500,1,58.38
2500,1,58.40
2500,1,58.42
2500,1,58.44
2500,1,58.38
2500,1,58.40
2500,1,58.43
2500,1,58.45
2500,1,58.40
2500,1,58.42
2500,1,58.43
2500,1,58.45
2500,1,58.41
2500,1,58.43
2500,1,58.45
2500,1,58.47
2500,1,58.49
2500,1,58.44
2500,1,58.46
2500,1,58.48
2500,1,58.50
2500,1,58.45
2500,1,58.47
2500,1,58.49
2500,1,58.51
2500,1,58.46
2500,1,58.47
2500,1,58.49
2500,1,58.52
2500,1,58.46
2500,1,58.49
2500,1,58.50
2500,1,58.46
2500,1,58.48
2500,1,58.50
2500,1,58.51
2500,1,58.53
2500,1,58.49
2500,1,58.50
2500,1,58.52
2500,1,58.47
2500,1,58.49
2500,1,58.52
2500,1,58.54
2500,1,58.55
2500,1,58.51
2500,1,58.53
2500,1,58.54
2500,1,58.56
2500,1,58.51
2500,1,58.54
2500,1,58.55
2500,1,58.57
2500,1,58.52
2500,1,58.54
2500,1,58.56
2500,1,58.58
2500,1,58.53
2500,1,58.55
2500,1,58.57
2500,1,58.59
2500,1,58.54
2500,1,58.55
2500,1,58.57
2500,1,58.60
2500,1,58.55
2500,1,58.57
2500,1,58.58
2500,1,58.53
2500,1,58.56
2500,1,58.58
2500,1,58.60
2500,1,58.61
2500,1,58.56
2500,1,58.58
2500,1,58.60
2500,1,58.62
2500,1,58.57
2500,1,58.59
2500,1,58.60
2500,1,58.63
2500,1,58.58
2500,1,58.60
2500,1,58.62
2500,1,58.63
2500,1,58.59
2500,1,58.61
2500,1,58.62
2500,1,58.65
2500,1,58.59
2500,1,58.61
2500,1,58.64
2500,1,58.65
2500,1,58.61
2500,1,58.62
2500,1,58.64
2500,1,58.66
2500,1,58.61
2500,1,58.63
2500,1,58.65
2500,1,58.67
2500,1,58.62
2500,1,58.64
2500,1,58.66
2500,1,58.61
2500,1,58.63
2500,1,58.65
2500,1,58.66
2500,1,58.68
2500,1,58.64
2500,1,58.65
2500,1,58.67
2500,1,58.69
2500,1,58.64
2500,1,58.66
2500,1,58.68
2500,1,58.69
2500,1,58.65
2500,1,58.67
2500,1,58.69
2500,1,58.70
2500,1,58.66
2500,1,58.67
2500,1,58.69
2500,1,58.71
2500,1,58.66
2500,1,58.68
2500,1,58.70
2500,1,58.72
2500,1,58.67
2500,1,58.69
2500,1,58.70
2500,1,58.72
2500,1,58.68
2500,1,58.69
2500,1,58.71
2500,1,58.73
2500,1,58.68
2500,1,58.69
2500,1,58.71
2500,1,58.73
2500,1,58.69
2500,1,58.70
2500,1,58.72
2500,1,58.74
2500,1,58.69
2500,1,58.71
2500,1,58.73
2500,1,58.75
2500,1,58.70
2500,1,58.66
2500,1,58.67
2500,1,58.04
10000,1,58.55
10000,1,58.51
10000,1,58.53
10000,1,58.54
10000,1,58.49
10000,1,58.52
10000,1,58.54
10000,1,58.56
10000,1,58.50
10000,1,58.52
10000,1,58.54
10000,1,58.57
10000,1,58.51
10000,1,58.54
10000,1,58.56
10000,1,58.58
10000,1,58.52
10000,1,58.55
10000,1,58.56
10000,1,58.59
10000,1,58.60
10000,1,58.55
10000,1,58.57
10000,1,58.60
10000,1,58.54
10000,1,58.56
10000,1,58.58
10000,1,58.60
10000,1,58.55
10000,1,58.57
10000,1,58.59
10000,1,58.61
10000,1,58.56
10000,1,58.58
10000,1,58.60
10000,1,58.62
10000,1,58.57
10000,1,58.59
10000,1,58.61
10000,1,58.63
10000,1,58.58
10000,1,58.60
10000,1,58.62
10000,1,58.63
10000,1,58.66
10000,1,58.61
10000,1,58.63
10000,1,58.64
10000,1,58.59
10000,1,58.61
10000,1,58.63
10000,1,58.66
10000,1,58.60
10000,1,58.62
10000,1,58.64
10000,1,58.66
10000,1,58.68
10000,1,58.63
10000,1,58.65
10000,1,58.67
10000,1,58.61
10000,1,58.64
10000,1,58.65
