Grid Size,Thread Count,Frame Rate
2500,2,58.49
2500,2,58.51
2500,2,58.53
2500,2,58.55
2500,2,58.50
2500,2,58.52
2500,2,58.54
2500,2,58.57
2500,2,58.50
2500,2,58.53
2500,2,58.55
2500,2,58.57
2500,2,58.52
2500,2,58.54
2500,2,58.56
2500,2,58.57
2500,2,58.53
2500,2,58.55
2500,2,58.56
2500,2,58.59
2500,2,58.54
2500,2,58.56
2500,2,58.58
2500,2,58.60
2500,2,58.55
2500,2,58.56
2500,2,58.58
2500,2,58.61
2500,2,58.55
2500,2,58.58
2500,2,58.60
2500,2,58.62
2500,2,58.63
2500,2,58.58
2500,2,58.61
2500,2,58.62
2500,2,58.57
2500,2,58.59
2500,2,58.61
2500,2,58.63
2500,2,58.64
2500,2,58.60
2500,2,58.62
2500,2,58.64
2500,2,58.59
2500,2,58.61
2500,2,58.63
2500,2,58.65
2500,2,58.60
2500,2,58.61
2500,2,58.64
2500,2,58.66
2500,2,58.61
2500,2,58.62
2500,2,58.65
2500,2,58.67
2500,2,58.61
2500,2,58.64
2500,2,58.66
2500,2,58.67
2500,2,58.63
2500,2,58.64
2500,2,58.66
2500,2,58.68
2500,2,58.63
2500,2,58.65
2500,2,58.67
2500,2,58.69
2500,2,58.64
2500,2,58.66
2500,2,58.68
2500,2,58.70
2500,2,58.65
2500,2,58.67
2500,2,58.68
2500,2,58.71
2500,2,58.65
2500,2,58.68
2500,2,58.70
2500,2,58.71
2500,2,58.66
2500,2,58.68
2500,2,58.70
2500,2,58.72
2500,2,58.67
2500,2,58.69
2500,2,58.71
2500,2,58.73
2500,2,58.67
2500,2,58.69
2500,2,58.72
2500,2,58.73
2500,2,58.69
2500,2,58.70
2500,2,58.72
2500,2,58.74
2500,2,58.69
2500,2,58.71
2500,2,58.73
2500,2,58.75
2500,2,58.70
2500,2,58.72
2500,2,58.74
2500,2,58.75
2500,2,58.71
2500,2,58.73
2500,2,58.74
2500,2,58.76
2500,2,58.78
2500,2,58.73
2500,2,58.75
2500,2,58.77
2500,2,58.72
2500,2,58.74
2500,2,58.76
2500,2,58.78
2500,2,58.73
2500,2,58.75
2500,2,58.77
2500,2,58.78
2500,2,58.74
2500,2,58.75
2500,2,58.77
2500,2,58.79
2500,2,58.74
2500,2,58.76
2500,2,58.78
2500,2,58.80
2500,2,58.75
2500,2,58.77
2500,2,58.79
2500,2,58.80
2500,2,58.76
2500,2,58.77
2500,2,58.79
2500,2,58.81
2500,2,58.82
2500,2,58.78
2500,2,58.80
2500,2,58.82
2500,2,58.77
2500,2,58.79
2500,2,58.81
2500,2,58.82
2500,2,58.84
2500,2,58.79
2500,2,58.81
2500,2,58.83
2500,2,58.84
2500,2,58.80
2500,2,58.82
2500,2,58.83
2500,2,58.85
2500,2,58.80
2500,2,58.82
2500,2,58.84
2500,2,58.79
2500,2,58.81
2500,2,58.82
2500,2,58.84
2500,2,58.86
2500,2,58.82
2500,2,58.83
2500,2,58.85
2500,2,58.87
2500,2,58.82
2500,2,58.84
2500,2,58.85
2500,2,58.87
2500,2,58.83
2500,2,58.85
2500,2,58.86
2500,2,58.88
2500,2,58.83
2500,2,58.85
2500,2,58.87
2500,2,58.88
2500,2,58.84
2500,2,58.85
2500,2,58.87
2500,2,58.89
2500,2,58.85
2500,2,58.86
2500,2,58.87
2500,2,58.83
2500,2,58.85
2500,2,58.87
2500,2,58.89
2500,2,58.84
2500,2,58.86
2500,2,58.87
2500,2,58.42
10000,2,58.53
10000,2,58.55
10000,2,58.50
10000,2,58.53
10000,2,58.55
10000,2,58.49
10000,2,58.52
10000,2,58.54
10000,2,58.56
10000,2,58.51
10000,2,58.53
10000,2,58.55
10000,2,58.57
10000,2,58.51
10000,2,58.53
10000,2,58.56
10000,2,58.57
10000,2,58.52
10000,2,58.54
10000,2,58.56
10000,2,58.59
10000,2,58.53
10000,2,58.55
10000,2,58.57
10000,2,58.60
10000,2,58.55
10000,2,58.56
10000,2,58.58
10000,2,58.60
10000,2,58.55
10000,2,58.57
10000,2,58.59
10000,2,58.61
10000,2,58.56
10000,2,58.58
10000,2,58.60
10000,2,58.62
10000,2,58.56
10000,2,58.58
10000,2,58.61
10000,2,58.63
10000,2,58.58
10000,2,58.59
10000,2,58.62
10000,2,58.64
10000,2,58.59
10000,2,58.59
10000,2,58.63
10000,2,58.65
10000,2,58.59
10000,2,58.61
10000,2,58.63
10000,2,58.66
10000,2,58.60
10000,2,58.61
10000,2,58.64
10000,2,58.66
10000,2,58.61
10000,2,58.63
10000,2,58.65
10000,2,58.67
10000,2,58.62
10000,2,58.63
10000,2,58.66
10000,2,58.67
10000,2,58.63
10000,2,58.64
10000,2,58.66
10000,2,58.69
